// filepath: /Users/danny/cis-allocations/input.csv
"Timestamp","Enter your name:","Enter your email:","Enter the name of your school:","Personal contact number:","How many MUNs have you been to?","What is your first preferred committee?","What is your second preferred committee? (cannot be identical to first preferred committee)"
"2025/05/08 11:49:21 AM GMT+4","Patrick Brooks","","CIS","","2","IMF","UNDP"
"2025/05/08 11:49:21 AM GMT+4","Angela Hill","","CIS","","15","IMF","UNHRC"
"2025/05/08 11:49:21 AM GMT+4","Steven Hughes","","CIS","","7","WTO","ICC"
"2025/05/08 11:49:21 AM GMT+4","Gary Phillips","","CIS","","14","ILO","WHO"
"2025/05/08 11:49:21 AM GMT+4","Angela Nelson","","CIS","","6","UNFCCC","SOCHUM"
"2025/05/08 11:49:21 AM GMT+4","Jeffrey Williams","","CIS","","1","UNICEF","UNESCO"
"2025/05/08 11:49:21 AM GMT+4","Melissa Anderson","","CIS","","4","UNEA","SPECPOL"
"2025/05/08 11:49:21 AM GMT+4","Stephen Clark","","CIS","","15","UNEP","ECOSOC"
"2025/05/08 11:49:21 AM GMT+4","Jack Mitchell","","CIS","","3","SOCHUM","UNEA"
"2025/05/08 11:49:21 AM GMT+4","Raymond Garcia","","CIS","","10","UN-WOMEN","IMF"
"2025/05/08 11:49:21 AM GMT+4","Steven Hernandez","","CIS","","9","UNHCR","WTO"
"2025/05/08 11:49:21 AM GMT+4","Catherine Cox","","CIS","","13","UNEA","UN-WOMEN"
"2025/05/08 11:49:21 AM GMT+4","Joshua Perez","","CIS","","9","UNIDO","ICJ"
"2025/05/08 11:49:21 AM GMT+4","Karen Sanchez","","CIS","","13","UNPBC","UNGA"
"2025/05/08 11:49:21 AM GMT+4","Ashley Foster","","CIS","","1","ECOSOC","UNHCR"
"2025/05/08 11:49:21 AM GMT+4","Jason Harris","","CIS","","14","UN-WOMEN","UNFCCC"
"2025/05/08 11:49:21 AM GMT+4","Deborah Cook","","CIS","","13","WHO","FAO"
"2025/05/08 11:49:21 AM GMT+4","Justin Ramos","","CIS","","5","UNDP","UNSC"
"2025/05/08 11:49:21 AM GMT+4","Gregory Myers","","CIS","","6","UNIDO","LEGAL"
"2025/05/08 11:49:21 AM GMT+4","Cynthia Kelly","","CIS","","9","SOCHUM","LEGAL"
"2025/05/08 11:49:21 AM GMT+4","Scott Allen","","CIS","","9","UNFCCC","UNEA"
"2025/05/08 11:49:21 AM GMT+4","Dennis Allen","","CIS","","8","ECOSOC","UNICEF"
"2025/05/08 11:49:21 AM GMT+4","Christine Smith","","CIS","","10","ICJ","UNDP"
"2025/05/08 11:49:21 AM GMT+4","Julie Evans","","CIS","","2","UNDP","WTO"
"2025/05/08 11:49:21 AM GMT+4","Kathleen Gomez","","CIS","","12","UNFCCC","FAO"
"2025/05/08 11:49:21 AM GMT+4","Betty King","","CIS","","3","ECOSOC","UNIDO"
"2025/05/08 11:49:21 AM GMT+4","Carol Robinson","","CIS","","12","UNEP","SPECPOL"
"2025/05/08 11:49:21 AM GMT+4","Rachel Lewis","","CIS","","15","UNDP","IMF"
"2025/05/08 11:49:21 AM GMT+4","Joseph Mitchell","","CIS","","1","UNHRC","UNGA"
"2025/05/08 11:49:21 AM GMT+4","Kevin Patel","","CIS","","15","UNEP","UNSC"
"2025/05/08 11:49:21 AM GMT+4","Matthew Taylor","","CIS","","2","SOCHUM","WHO"
"2025/05/08 11:49:21 AM GMT+4","Julie Gonzalez","","CIS","","5","ICJ","UNFCCC"
"2025/05/08 11:49:21 AM GMT+4","Alexander Price","","CIS","","2","UNPBC","UNEP"
"2025/05/08 11:49:21 AM GMT+4","Scott Robinson","","CIS","","4","UNESCO","UNICEF"
"2025/05/08 11:49:21 AM GMT+4","Kenneth Brown","","CIS","","2","WTO","WHO"
"2025/05/08 11:49:21 AM GMT+4","Timothy Reyes","","CIS","","4","UNSC","UNHRC"
"2025/05/08 11:49:21 AM GMT+4","Rachel Bennett","","CIS","","4","DISEC","UNSC"
"2025/05/08 11:49:21 AM GMT+4","Ruth Foster","","CIS","","11","UNIDO","WHO"
"2025/05/08 11:49:21 AM GMT+4","Stephanie Nelson","","CIS","","3","UN-WOMEN","UNDP"
"2025/05/08 11:49:21 AM GMT+4","Samuel Sanders","","CIS","","9","DISEC","UNHCR"
"2025/05/08 11:49:21 AM GMT+4","Anna Morris","","CIS","","14","LEGAL","UN-WOMEN"
"2025/05/08 11:49:21 AM GMT+4","Pamela Lopez","","CIS","","4","IMF","UNIDO"
"2025/05/08 11:49:21 AM GMT+4","Benjamin Alvarez","","CIS","","10","ICJ","UNIDO"
"2025/05/08 11:49:21 AM GMT+4","William Nelson","","CIS","","13","UN-WOMEN","SOCHUM"
"2025/05/08 11:49:21 AM GMT+4","Betty Hughes","","CIS","","14","ICC","FAO"
"2025/05/08 11:49:21 AM GMT+4","Elizabeth Reyes","","CIS","","4","IMF","UNFCCC"
"2025/05/08 11:49:21 AM GMT+4","Nicholas Thomas","","CIS","","5","UNESCO","WHO"
"2025/05/08 11:49:21 AM GMT+4","Angela Jackson","","CIS","","8","LEGAL","UNGA"
"2025/05/08 11:49:21 AM GMT+4","Raymond Flores","","CIS","","2","SOCHUM","UNGA"
"2025/05/08 11:49:21 AM GMT+4","Laura Nguyen","","CIS","","4","SOCHUM","UNEP"
"2025/05/08 11:49:21 AM GMT+4","Samantha White","","CIS","","6","UNSC","SOCHUM"
"2025/05/08 11:49:21 AM GMT+4","Emma Hall","","CIS","","5","UNFCCC","DISEC"
"2025/05/08 11:49:21 AM GMT+4","Frank Gutierrez","","CIS","","4","UNEP","UNESCO"
"2025/05/08 11:49:21 AM GMT+4","Daniel Morales","","CIS","","13","UNESCO","ICJ"
"2025/05/08 11:49:21 AM GMT+4","Betty Rivera","","CIS","","6","ECOSOC","UNGA"
"2025/05/08 11:49:21 AM GMT+4","Christine Martin","","CIS","","11","ICC","UNSC"
"2025/05/08 11:49:21 AM GMT+4","Amy Bailey","","CIS","","6","UNEP","UN-WOMEN"
"2025/05/08 11:49:21 AM GMT+4","Mark Young","","CIS","","3","UN-WOMEN","WTO"
"2025/05/08 11:49:21 AM GMT+4","Pamela Hughes","","CIS","","2","WHO","FAO"
"2025/05/08 11:49:21 AM GMT+4","Joshua Ward","","CIS","","10","ILO","UNESCO"
"2025/05/08 11:49:21 AM GMT+4","Amanda Jones","","CIS","","6","DISEC","UNGA"
"2025/05/08 11:49:21 AM GMT+4","Ruth Turner","","CIS","","10","UNESCO","UNFCCC"
"2025/05/08 11:49:21 AM GMT+4","Amy Johnson","","CIS","","13","UNFCCC","ILO"
"2025/05/08 11:49:21 AM GMT+4","Deborah Ross","","CIS","","15","SPECPOL","WHO"
"2025/05/08 11:49:21 AM GMT+4","Sharon Lee","","CIS","","9","UNPBC","UNDP"
"2025/05/08 11:49:21 AM GMT+4","Jessica Stewart","","CIS","","6","UN-WOMEN","WHO"
"2025/05/08 11:49:21 AM GMT+4","Pamela Myers","","CIS","","2","UN-WOMEN","UNGA"
"2025/05/08 11:49:21 AM GMT+4","Benjamin Cook","","CIS","","14","UNFCCC","SOCHUM"
"2025/05/08 11:49:21 AM GMT+4","Melissa Wood","","CIS","","14","WHO","UNICEF"
"2025/05/08 11:49:21 AM GMT+4","Jason Thomas","","CIS","","11","UNHCR","ICJ"
"2025/05/08 11:49:21 AM GMT+4","Anna Murphy","","CIS","","6","ECOSOC","ILO"
"2025/05/08 11:49:21 AM GMT+4","Joshua Young","","CIS","","5","UNHRC","UN-WOMEN"
"2025/05/08 11:49:21 AM GMT+4","Ryan Bennett","","CIS","","3","UNHRC","UNESCO"
"2025/05/08 11:49:21 AM GMT+4","Brandon Johnson","","CIS","","6","LEGAL","IMF"
"2025/05/08 11:49:21 AM GMT+4","Daniel Peterson","","CIS","","2","IMF","WTO"
"2025/05/08 11:49:21 AM GMT+4","Susan Cox","","CIS","","8","UNFCCC","ICC"
"2025/05/08 11:49:21 AM GMT+4","Ronald Moore","","CIS","","7","UNEP","UNDP"
"2025/05/08 11:49:21 AM GMT+4","Michael Collins","","CIS","","2","UNGA","SPECPOL"
"2025/05/08 11:49:21 AM GMT+4","Patricia Gonzalez","","CIS","","13","LEGAL","UNSC"
"2025/05/08 11:49:21 AM GMT+4","Jennifer Miller","","CIS","","13","UNESCO","WTO"
"2025/05/08 11:49:21 AM GMT+4","Brenda Brooks","","CIS","","8","UNPBC","DISEC"
"2025/05/08 11:49:21 AM GMT+4","Donna Walker","","CIS","","4","UNICEF","ICJ"
"2025/05/08 11:49:21 AM GMT+4","Charles Long","","CIS","","7","UNEA","UN-WOMEN"
"2025/05/08 11:49:21 AM GMT+4","Sandra Green","","CIS","","6","SPECPOL","UNHCR"
"2025/05/08 11:49:21 AM GMT+4","Brian Stewart","","CIS","","8","SPECPOL","ICC"
"2025/05/08 11:49:21 AM GMT+4","Andrew Bennett","","CIS","","15","WTO","UNPBC"
"2025/05/08 11:49:21 AM GMT+4","Alexander Garcia","","CIS","","10","SPECPOL","UN-WOMEN"
"2025/05/08 11:49:21 AM GMT+4","Benjamin Reyes","","CIS","","6","ICJ","ICC"
"2025/05/08 11:49:21 AM GMT+4","James Perez","","CIS","","13","UNPBC","UNHRC"
"2025/05/08 11:49:21 AM GMT+4","Linda Hughes","","CIS","","7","UN-WOMEN","UNICEF"
"2025/05/08 11:49:21 AM GMT+4","Sharon Ross","","CIS","","5","LEGAL","UNFCCC"
"2025/05/08 11:49:21 AM GMT+4","Jerry Moore","","CIS","","6","UNSC","UNFCCC"
"2025/05/08 11:49:21 AM GMT+4","Elizabeth Richardson","","CIS","","1","UN-WOMEN","ILO"
"2025/05/08 11:49:21 AM GMT+4","Justin Morgan","","CIS","","10","SPECPOL","FAO"
"2025/05/08 11:49:21 AM GMT+4","Daniel Martinez","","CIS","","14","UNSC","UNHCR"
"2025/05/08 11:49:21 AM GMT+4","Gregory Walker","","CIS","","13","FAO","ICJ"
"2025/05/08 11:49:21 AM GMT+4","Paul Gonzalez","","CIS","","3","UNHCR","UNFCCC"
"2025/05/08 11:49:21 AM GMT+4","Robert Jones","","CIS","","9","UNEA","UNICEF"
"2025/05/08 11:49:21 AM GMT+4","David Foster","","CIS","","12","ICC","UNPBC"
"2025/05/08 11:49:21 AM GMT+4","Katherine Brooks","","CIS","","12","LEGAL","WTO"
"2025/05/08 11:49:21 AM GMT+4","Scott Gomez","","CIS","","8","UNICEF","UNPBC"
"2025/05/08 11:49:21 AM GMT+4","Alexander Jones","","CIS","","2","UNHCR","UNPBC"
"2025/05/08 11:49:21 AM GMT+4","Melissa Young","","CIS","","14","UNGA","UNHCR"
"2025/05/08 11:49:21 AM GMT+4","Mark Reed","","CIS","","9","SOCHUM","UNSC"
"2025/05/08 11:49:21 AM GMT+4","Eric Mendoza","","CIS","","7","UNEA","LEGAL"
"2025/05/08 11:49:21 AM GMT+4","Eric Bailey","","CIS","","4","UNGA","UNFCCC"
"2025/05/08 11:49:21 AM GMT+4","Dorothy Martinez","","CIS","","6","UNPBC","UNESCO"
"2025/05/08 11:49:21 AM GMT+4","Eric Bennett","","CIS","","4","UNFCCC","ICJ"
"2025/05/08 11:49:21 AM GMT+4","Jacob Rivera","","CIS","","9","UNPBC","ECOSOC"
"2025/05/08 11:49:21 AM GMT+4","Melissa Gutierrez","","CIS","","15","UNFCCC","UNSC"
"2025/05/08 11:49:21 AM GMT+4","John Mendoza","","CIS","","12","ILO","UNSC"
"2025/05/08 11:49:21 AM GMT+4","Jerry Robinson","","CIS","","9","SPECPOL","DISEC"
"2025/05/08 11:49:21 AM GMT+4","Brenda Mendoza","","CIS","","12","UNEA","UNPBC"
"2025/05/08 11:49:21 AM GMT+4","Daniel Hughes","","CIS","","3","WHO","UNSC"
"2025/05/08 11:49:21 AM GMT+4","Ruth Morris","","CIS","","12","LEGAL","UNFCCC"
"2025/05/08 11:49:21 AM GMT+4","John Green","","CIS","","15","ICC","UNICEF"
"2025/05/08 11:49:21 AM GMT+4","Diane Wright","","CIS","","3","IMF","UNSC"
"2025/05/08 11:49:21 AM GMT+4","Kathleen Rodriguez","","CIS","","7","WHO","SOCHUM"
"2025/05/08 11:49:21 AM GMT+4","James Clark","","CIS","","7","UN-WOMEN","SPECPOL"
"2025/05/08 11:49:21 AM GMT+4","Steven James","","CIS","","13","UNGA","FAO"
"2025/05/08 11:49:21 AM GMT+4","Brandon Cruz","","CIS","","4","UNPBC","UNESCO"
"2025/05/08 11:49:21 AM GMT+4","Julie Lopez","","CIS","","15","UNGA","ICJ"
"2025/05/08 11:49:21 AM GMT+4","Frank Gutierrez","","CIS","","5","ICJ","IMF"
"2025/05/08 11:49:21 AM GMT+4","William Patel","","CIS","","11","LEGAL","DISEC"
"2025/05/08 11:49:21 AM GMT+4","Mary Mitchell","","CIS","","13","SPECPOL","UNFCCC"
"2025/05/08 11:49:21 AM GMT+4","Frank Thomas","","CIS","","7","UNFCCC","UNSC"
"2025/05/08 11:49:21 AM GMT+4","Steven Wood","","CIS","","10","UNSC","UNESCO"
"2025/05/08 11:49:21 AM GMT+4","Christopher Alvarez","","CIS","","2","UNGA","UNEA"
"2025/05/08 11:49:21 AM GMT+4","Amy Walker","","CIS","","10","UNICEF","SPECPOL"
"2025/05/08 11:49:21 AM GMT+4","Elizabeth Richardson","","CIS","","1","IMF","ICC"
"2025/05/08 11:49:21 AM GMT+4","Christopher Young","","CIS","","12","WHO","UN-WOMEN"
"2025/05/08 11:49:21 AM GMT+4","Eric Chavez","","CIS","","7","WTO","WHO"
"2025/05/08 11:49:21 AM GMT+4","Maria Evans","","CIS","","2","ILO","UNPBC"
"2025/05/08 11:49:21 AM GMT+4","Heather Wood","","CIS","","3","ILO","LEGAL"
"2025/05/08 11:49:21 AM GMT+4","Matthew Gonzalez","","CIS","","1","UNHRC","FAO"
"2025/05/08 11:49:21 AM GMT+4","Thomas Jimenez","","CIS","","5","UNICEF","DISEC"
"2025/05/08 11:49:21 AM GMT+4","Jennifer Morales","","CIS","","11","ILO","UNEP"
"2025/05/08 11:49:21 AM GMT+4","Helen Murphy","","CIS","","8","WTO","UNEA"
"2025/05/08 11:49:21 AM GMT+4","Benjamin Taylor","","CIS","","2","UNEP","WHO"
"2025/05/08 11:49:21 AM GMT+4","David Allen","","CIS","","9","ICC","UNHCR"
"2025/05/08 11:49:21 AM GMT+4","Susan Sanders","","CIS","","15","ICC","IMF"
"2025/05/08 11:49:21 AM GMT+4","Larry Wright","","CIS","","1","UNEP","SOCHUM"
"2025/05/08 11:49:21 AM GMT+4","Jerry Ramirez","","CIS","","13","IMF","ECOSOC"
"2025/05/08 11:49:21 AM GMT+4","Donna Castillo","","CIS","","15","UNDP","UNHCR"
"2025/05/08 11:49:21 AM GMT+4","Alexander Cox","","CIS","","10","SPECPOL","ICJ"
"2025/05/08 11:49:21 AM GMT+4","Brian Carter","","CIS","","12","ILO","UNESCO"
"2025/05/08 11:49:21 AM GMT+4","Diane Garcia","","CIS","","7","ICC","UNPBC"
"2025/05/08 11:49:21 AM GMT+4","Dennis Flores","","CIS","","6","FAO","UNHCR"
"2025/05/08 11:49:21 AM GMT+4","Emily Myers","","CIS","","6","SPECPOL","LEGAL"
"2025/05/08 11:49:21 AM GMT+4","Laura Chavez","","CIS","","1","UNICEF","UNSC"
"2025/05/08 11:49:21 AM GMT+4","John Ramos","","CIS","","11","UNEA","UNIDO"
"2025/05/08 11:49:21 AM GMT+4","Thomas Morales","","CIS","","3","ILO","WHO"
"2025/05/08 11:49:21 AM GMT+4","Matthew Collins","","CIS","","1","ILO","UNEP"
"2025/05/08 11:49:21 AM GMT+4","Mary Cooper","","CIS","","10","UNESCO","ICC"
"2025/05/08 11:49:21 AM GMT+4","Ashley Taylor","","CIS","","2","ICC","IMF"
"2025/05/08 11:49:21 AM GMT+4","Helen Gutierrez","","CIS","","1","UNIDO","SPECPOL"
"2025/05/08 11:49:21 AM GMT+4","Jacob Allen","","CIS","","11","UNHRC","UNEP"
"2025/05/08 11:49:21 AM GMT+4","Timothy Bailey","","CIS","","11","UNHRC","SOCHUM"
"2025/05/08 11:49:21 AM GMT+4","Deborah Ward","","CIS","","8","ECOSOC","UNHCR"
"2025/05/08 11:49:21 AM GMT+4","Jerry Sanchez","","CIS","","12","UNICEF","UNPBC"
"2025/05/08 11:49:21 AM GMT+4","Brenda Scott","","CIS","","7","WHO","SPECPOL"
"2025/05/08 11:49:21 AM GMT+4","Deborah Brown","","CIS","","8","DISEC","UNHRC"
"2025/05/08 11:49:21 AM GMT+4","Lisa Ortiz","","CIS","","3","UNESCO","SPECPOL"
"2025/05/08 11:49:21 AM GMT+4","Frank Peterson","","CIS","","4","UNESCO","SOCHUM"
"2025/05/08 11:49:21 AM GMT+4","Margaret Gonzalez","","CIS","","2","WHO","UN-WOMEN"
"2025/05/08 11:49:21 AM GMT+4","Nicholas Foster","","CIS","","15","UNDP","UNGA"
"2025/05/08 11:49:21 AM GMT+4","Donald Scott","","CIS","","1","ILO","WHO"
"2025/05/08 11:49:21 AM GMT+4","Frank Patel","","CIS","","10","WTO","UN-WOMEN"
"2025/05/08 11:49:21 AM GMT+4","Charles Stewart","","CIS","","6","UNDP","UNSC"
"2025/05/08 11:49:21 AM GMT+4","Paul Ruiz","","CIS","","3","UNICEF","UNIDO"
"2025/05/08 11:49:21 AM GMT+4","Helen Price","","CIS","","7","SOCHUM","UNICEF"
"2025/05/08 11:49:21 AM GMT+4","Edward Sanders","","CIS","","1","SPECPOL","ILO"
"2025/05/08 11:49:21 AM GMT+4","David Parker","","CIS","","7","UNFCCC","WHO"
"2025/05/08 11:49:21 AM GMT+4","Stephanie Foster","","CIS","","9","WHO","UNESCO"
"2025/05/08 11:49:21 AM GMT+4","Benjamin Brooks","","CIS","","14","IMF","LEGAL"
"2025/05/08 11:49:21 AM GMT+4","Alexander Ramirez","","CIS","","7","ECOSOC","WTO"
"2025/05/08 11:49:21 AM GMT+4","Justin Martin","","CIS","","14","FAO","SOCHUM"
"2025/05/08 11:49:21 AM GMT+4","Jason Bennett","","CIS","","2","UNGA","UNESCO"
"2025/05/08 11:49:21 AM GMT+4","Nancy Morris","","CIS","","10","UNEA","SOCHUM"
"2025/05/08 11:49:21 AM GMT+4","Raymond Reed","","CIS","","14","ICJ","UN-WOMEN"
"2025/05/08 11:49:21 AM GMT+4","Julie Bailey","","CIS","","11","UNGA","UNDP"
"2025/05/08 11:49:21 AM GMT+4","Brenda James","","CIS","","12","IMF","SPECPOL"
"2025/05/08 11:49:21 AM GMT+4","Elizabeth Flores","","CIS","","2","WHO","UNEA"
"2025/05/08 11:49:21 AM GMT+4","Dennis Evans","","CIS","","15","LEGAL","WHO"
"2025/05/08 11:49:21 AM GMT+4","Gary Turner","","CIS","","12","ICJ","UNESCO"
"2025/05/08 11:49:21 AM GMT+4","George Gray","","CIS","","8","ICJ","UNGA"
"2025/05/08 11:49:21 AM GMT+4","Frank Patel","","CIS","","13","UNICEF","SOCHUM"
"2025/05/08 11:49:21 AM GMT+4","Helen Cox","","CIS","","4","UNIDO","SPECPOL"
"2025/05/08 11:49:21 AM GMT+4","Donald Watson","","CIS","","1","WHO","UNICEF"
"2025/05/08 11:49:21 AM GMT+4","Brenda Lee","","CIS","","13","UNHCR","UNPBC"
"2025/05/08 11:49:21 AM GMT+4","Stephanie King","","CIS","","11","ECOSOC","LEGAL"
"2025/05/08 11:49:21 AM GMT+4","Michael Gomez","","CIS","","11","UNICEF","UNESCO"
"2025/05/08 11:49:21 AM GMT+4","Dorothy White","","CIS","","9","UNHCR","UNGA"
"2025/05/08 11:49:21 AM GMT+4","Ronald Diaz","","CIS","","5","ILO","FAO"
"2025/05/08 11:49:21 AM GMT+4","Jennifer Myers","","CIS","","3","UNEA","UNGA"
"2025/05/08 11:49:21 AM GMT+4","Frank Long","","CIS","","12","UNHRC","UNHCR"
"2025/05/08 11:49:21 AM GMT+4","Mark Bennett","","CIS","","11","ICJ","UNPBC"
"2025/05/08 11:49:21 AM GMT+4","Jennifer Brooks","","CIS","","9","UNFCCC","LEGAL"
"2025/05/08 11:49:21 AM GMT+4","Gary Mitchell","","CIS","","3","SPECPOL","UNSC"
"2025/05/08 11:49:21 AM GMT+4","Susan Gutierrez","","CIS","","7","UNGA","UNHCR"
"2025/05/08 11:49:21 AM GMT+4","Richard Allen","","CIS","","12","SOCHUM","UN-WOMEN"
"2025/05/08 11:49:21 AM GMT+4","Donna Robinson","","CIS","","12","UNHCR","ILO"
"2025/05/08 11:49:21 AM GMT+4","Lisa Evans","","CIS","","12","UNHRC","UNFCCC"
"2025/05/08 11:49:21 AM GMT+4","David Price","","CIS","","7","UNSC","ILO"
"2025/05/08 11:49:21 AM GMT+4","Donna Murphy","","CIS","","4","LEGAL","UNESCO"
"2025/05/08 11:49:21 AM GMT+4","Rebecca Young","","CIS","","2","FAO","ILO"
"2025/05/08 11:49:21 AM GMT+4","Frank Evans","","CIS","","7","FAO","UNGA"
"2025/05/08 11:49:21 AM GMT+4","Ronald Richardson","","CIS","","10","ICJ","IMF"
"2025/05/08 11:49:21 AM GMT+4","Jonathan Murphy","","CIS","","13","UNDP","DISEC"
"2025/05/08 11:49:21 AM GMT+4","Deborah Taylor","","CIS","","11","UN-WOMEN","UNSC"
"2025/05/08 11:49:21 AM GMT+4","Jacob Morales","","CIS","","2","UNICEF","WHO"
"2025/05/08 11:49:21 AM GMT+4","Raymond Ruiz","","CIS","","15","SOCHUM","UNEP"
"2025/05/08 11:49:21 AM GMT+4","James Ross","","CIS","","7","UNGA","UNEP"
"2025/05/08 11:49:21 AM GMT+4","Pamela Parker","","CIS","","6","UNSC","WTO"
"2025/05/08 11:49:21 AM GMT+4","John Sanders","","CIS","","10","UNFCCC","ILO"
"2025/05/08 11:49:21 AM GMT+4","Linda Edwards","","CIS","","6","UNEA","UNICEF"
"2025/05/08 11:49:21 AM GMT+4","David Evans","","CIS","","4","UNSC","UNHCR"
"2025/05/08 11:49:21 AM GMT+4","Michael Walker","","CIS","","15","DISEC","UNGA"
"2025/05/08 11:49:21 AM GMT+4","Kevin Hall","","CIS","","13","ICJ","LEGAL"
"2025/05/08 11:49:21 AM GMT+4","Kathleen Morris","","CIS","","7","DISEC","UNIDO"
"2025/05/08 11:49:21 AM GMT+4","Jonathan Harris","","CIS","","4","UNIDO","ECOSOC"
"2025/05/08 11:49:21 AM GMT+4","Patrick Bailey","","CIS","","6","UNICEF","SPECPOL"
"2025/05/08 11:49:21 AM GMT+4","Mary Peterson","","CIS","","2","UNESCO","UNHRC"
"2025/05/08 11:49:21 AM GMT+4","Sharon Sanders","","CIS","","4","LEGAL","SOCHUM"
"2025/05/08 11:49:21 AM GMT+4","Rebecca Bailey","","CIS","","10","UNICEF","SPECPOL"
"2025/05/08 11:49:21 AM GMT+4","Pamela Watson","","CIS","","1","DISEC","UNHRC"
"2025/05/08 11:49:21 AM GMT+4","Emma Hernandez","","CIS","","6","SOCHUM","ICC"
"2025/05/08 11:49:21 AM GMT+4","Amy Morgan","","CIS","","12","UNSC","UNPBC"
"2025/05/08 11:49:21 AM GMT+4","Richard Parker","","CIS","","12","ILO","FAO"
"2025/05/08 11:49:21 AM GMT+4","Joshua Flores","","CIS","","15","UNPBC","UNESCO"
"2025/05/08 11:49:21 AM GMT+4","Julie Price","","CIS","","6","UNIDO","ICJ"
"2025/05/08 11:49:21 AM GMT+4","Jacob Gutierrez","","CIS","","4","UNPBC","UNDP"
"2025/05/08 11:49:21 AM GMT+4","Matthew Young","","CIS","","8","UNSC","UNIDO"
"2025/05/08 11:49:21 AM GMT+4","Michelle Thompson","","CIS","","5","ECOSOC","UNESCO"
"2025/05/08 11:49:21 AM GMT+4","Larry Collins","","CIS","","2","UNICEF","UNEA"
"2025/05/08 11:49:21 AM GMT+4","Sharon Myers","","CIS","","1","ICC","UNGA"
"2025/05/08 11:49:21 AM GMT+4","Jessica Sanchez","","CIS","","12","FAO","ICJ"
"2025/05/08 11:49:21 AM GMT+4","Matthew Taylor","","CIS","","6","WHO","DISEC"
"2025/05/08 11:49:21 AM GMT+4","Maria Walker","","CIS","","4","WHO","UN-WOMEN"
"2025/05/08 11:49:21 AM GMT+4","Ryan Castillo","","CIS","","14","SOCHUM","UNGA"
"2025/05/08 11:49:21 AM GMT+4","Mark Roberts","","CIS","","13","ECOSOC","ILO"
"2025/05/08 11:49:21 AM GMT+4","Julie Hughes","","CIS","","1","UNHRC","UNEA"
"2025/05/08 11:49:21 AM GMT+4","Michael Ramos","","CIS","","2","ICJ","FAO"
"2025/05/08 11:49:21 AM GMT+4","Mark Jimenez","","CIS","","12","SOCHUM","UNIDO"
"2025/05/08 11:49:21 AM GMT+4","Michael Edwards","","CIS","","6","UNEP","UNHRC"
"2025/05/08 11:49:21 AM GMT+4","Samuel Smith","","CIS","","5","UNESCO","UNGA"
"2025/05/08 11:49:21 AM GMT+4","Betty Torres","","CIS","","4","UNDP","UNSC"
"2025/05/08 11:49:21 AM GMT+4","Jerry Jackson","","CIS","","8","WHO","UNGA"
"2025/05/08 11:49:21 AM GMT+4","Matthew Richardson","","CIS","","12","UNICEF","WHO"
"2025/05/08 11:49:21 AM GMT+4","George Bennett","","CIS","","10","UNSC","SOCHUM"
"2025/05/08 11:49:21 AM GMT+4","Linda Lopez","","CIS","","13","IMF","ECOSOC"
"2025/05/08 11:49:21 AM GMT+4","Sarah Myers","","CIS","","10","UNEA","UN-WOMEN"
"2025/05/08 11:49:21 AM GMT+4","Kenneth Wilson","","CIS","","7","UNESCO","ICC"
"2025/05/08 11:49:21 AM GMT+4","Stephen Peterson","","CIS","","9","UNHRC","DISEC"
"2025/05/08 11:49:21 AM GMT+4","Christopher Brooks","","CIS","","7","UNHRC","ICC"
